日付け,3m,6m,2y,5y,10y,30y
10月 2013,0.038,0.081,0.285,1.748,2.552,3.639
11月 2013,0.061,0.107,0.384,1.492,2.746,3.817
12月 2013,0.073,0.091,0.332,1.503,3.026,3.964
１月 2014,0.02,0.056,0.325,1.72,2.644,3.599
２月 2014,0.051,0.076,0.422,1.677,2.649,3.584
３月 2014,0.046,0.061,0.414,1.539,2.719,3.56
４月2014,0.025,0.046,0.375,1.633,2.646,3.457
５月2014,0.035,0.05,0.457,1.756,2.475,3.327
６月 2014,0.046,0.066,0.531,1.627,2.532,3.362
７月 2014,0.025,0.053,0.492,1.763,2.562,3.319
８月 2014,0.025,0.051,0.575,1.609,2.345,3.084
９月 2014,0.023,0.048,0.497,1.494,2.495,3.202
10月 2014,0.008,0.053,0.476,1.653,2.335,3.066
11月 2014,0.013,0.071,0.672,1.153,2.173,2.893
12月 2014,0.041,0.122,0.453,1.5,2.17,2.75
１月 2015,0.013,0.051,0.622,1.372,1.639,2.223
２月 2015,0.015,0.074,0.559,1.43,1.996,2.593
３月 2015,0.036,0.137,0.575,1.485,1.927,2.54
４月2015,0.005,0.038,0.609,1.641,2.035,2.744
５月2015,0.003,0.064,0.645,1.534,2.123,2.883
６月 2015,0.02,0.114,0.669,1.548,2.349,3.119
７月 2015,0.064,0.142,0.739,1.355,2.187,2.908
８月 2015,0.01,0.237,0.629,1.522,2.214,2.96
９月 2015,0.008,0.086,0.728,1.646,2.035,2.854
10月 2015,0.079,0.234,0.934,1.758,2.146,2.925
11月 2015,0.181,0.395,1.052,1.33,2.208,2.974
12月 2015,0.178,0.492,0.778,1.217,2.269,3.015
１月 2016,0.315,0.43,0.785,1.206,1.923,2.747
２月 2016,0.323,0.476,0.725,1.294,1.738,2.616
３月 2016,0.213,0.386,0.782,1.38,1.77,2.612
４月2016,0.205,0.389,0.883,1.001,1.835,2.68
５月2016,0.302,0.46,0.586,1.022,1.851,2.651
６月 2016,0.266,0.353,0.659,1.194,1.475,2.289
７月 2016,0.259,0.376,0.809,1.149,1.45,2.177
８月 2016,0.33,0.465,0.766,1.305,1.578,2.231
９月 2016,0.284,0.447,0.845,1.849,1.598,2.318
10月 2016,0.309,0.501,1.119,1.934,1.825,2.58
11月 2016,0.485,0.61,1.198,1.921,2.39,3.044
12月 2016,0.502,0.62,1.212,1.938,2.446,3.063
１月 2017,0.518,0.641,1.264,1.925,2.466,3.07
２月 2017,0.541,0.702,1.262,1.819,2.397,2.998
３月 2017,0.762,0.904,1.27,1.753,2.389,3.012
４月2017,0.803,0.981,1.286,1.887,2.289,2.958
５月2017,0.978,1.073,1.386,1.837,2.206,2.866
６月 2017,1.021,1.147,1.355,1.705,2.304,2.834
７月 2017,1.083,1.142,1.329,1.939,2.296,2.901
８月 2017,1.004,1.078,1.491,2.015,2.12,2.727
９月 2017,1.057,1.196,1.6,2.143,2.339,2.866
10月 2017,1.154,1.283,1.79,2.206,2.377,2.875
11月 2017,1.269,1.445,1.887,2.522,2.415,2.832
12月 2017,1.391,1.535,2.149,2.645,2.405,2.739
１月 2018,1.465,1.664,2.258,2.562,2.712,2.941
２月 2018,1.659,1.855,2.27,2.801,2.864,3.128
３月 2018,1.715,1.927,2.492,2.7,2.741,2.972
４月2018,1.807,2.012,2.435,2.74,2.955,3.124
５月2018,1.915,2.082,2.532,2.848,2.86,3.024
６月 2018,1.92,2.11,2.674,2.738,2.86,2.99
７月 2018,2.033,2.209,2.629,2.955,2.962,3.081
８月 2018,2.104,2.273,2.823,2.978,2.86,3.019
９月 2018,2.199,2.372,2.871,2.823,3.065,3.208
10月 2018,2.333,2.494,2.797,2.51,3.149,3.396
11月 2018,2.363,2.527,2.496,2.44,2.993,3.294
12月 2018,2.381,2.491,2.464,2.516,2.686,3.02
１月 2019,2.397,2.46,2.518,2.236,2.633,2.997
２月 2019,2.44,2.505,2.266,2.278,2.717,3.082
３月 2019,2.4,2.441,2.266,1.916,2.407,2.816
４月2019,2.432,2.452,1.924,1.768,2.504,2.93
５月2019,2.354,2.355,1.757,1.822,2.133,2.571
６月 2019,2.1,2.095,1.868,1.391,2.007,2.533
７月 2019,2.085,2.096,1.51,1.546,2.007,2.521
８月 2019,1.987,1.883,1.626,1.518,1.499,1.963
９月 2019,1.825,1.826,1.526,1.624,1.668,2.114
10月 2019,1.546,1.557,1.612,1.693,1.688,2.173
11月 2019,1.587,1.616,1.571,1.315,1.774,2.203
12月 2019,1.556,1.583,1.319,0.952,1.919,2.389
１月 2020,1.554,1.542,0.931,0.374,1.505,1.997
２月 2020,1.285,1.137,0.253,0.366,1.163,1.684
３月 2020,0.132,0.129,0.201,0.304,0.668,1.316
４月2020,0.106,0.114,0.164,0.288,0.646,1.293
５月2020,0.142,0.167,0.154,0.209,0.653,1.411
６月 2020,0.147,0.165,0.109,0.269,0.658,1.413
７月 2020,0.094,0.104,0.133,0.278,0.533,1.196
８月 2020,0.106,0.112,0.131,0.384,0.706,1.476
９月 2020,0.096,0.107,0.156,0.364,0.686,1.454
10月 2020,0.094,0.104,0.15,0.361,0.874,1.658
11月 2020,0.081,0.091,0.123,0.426,0.842,1.569
12月 2020,0.079,0.089,0.111,0.577,0.916,1.646
１月 2021,0.058,0.074,0.109,0,1.071,1.835
２月 2021,0.033,0.041,0,0,1.34,2.135
